search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types,website,phone,horario,google_maps_url,lat_precisa,lng_precisa
pole dance,Madrid,2026-06-11 16:24:05.564609,ChIJxQnscLIoQg0R9cKjOGszB48,Madrid Pole Dance Studio,"C. de los Fundadores, 29, Salamanca, 28028 Madrid, Spain",4.6,76.0,40.42467,-3.6655115,CLOSED_TEMPORARILY,"establishment, point_of_interest",,678 81 87 10,,https://maps.google.com/?cid=10306262807865443061,40.42467,
pole dance studio,Madrid,2026-06-11 16:24:07.131985,ChIJx3FKZVMnQg0Rny4JjNu1N_c,MovArt Pole Dance Studio,"C. Particular del Olvido, 3, Usera, 28026 Madrid, Spain",5.0,23.0,40.3866678,-3.7026425,OPERATIONAL,"establishment, point_of_interest",https://movartpolestudio.com/,604 89 17 64,lunes: 11:00–22:00 | martes: 11:00–22:00 | miércoles: 11:00–22:00 | jueves: 11:00–22:00 | viernes: 11:00–21:00 | sábado: 10:00–14:00 | domingo: Cerrado,https://maps.google.com/?cid=17813906805639163551,40.3866678,
pole dance studio,Madrid,2026-06-11 16:24:07.132002,ChIJwblKfnonQg0RR12XNnQ75Yo,Glow Up- Pole Studio Legazpi,"C. del Teniente Cnel. Noreña, 11, Piso 1, Arganzuela, 28045 Madrid, Spain",4.9,147.0,40.3895933,-3.694477099999999,OPERATIONAL,"establishment, point_of_interest",https://www.glowupolemadrid.com/,622 07 34 88,"lunes: 10:00–13:00, 17:00–22:00 | martes: 10:00–13:00, 17:00–22:00 | miércoles: 10:00–13:00, 17:00–22:00 | jueves: 10:00–13:00, 17:00–22:00 | viernes: 10:00–13:00, 16:00–20:00 | sábado: 11:00–14:00 | domingo: Cerrado",https://maps.google.com/?cid=10008471117218929991,40.3895933,
pole dance studio,Madrid,2026-06-11 16:24:07.132009,ChIJ1UQybP8nQg0RnUgpXqDjVOc,Central Pole,"C. de Juan Pascual de Mena, 26, Latina, 28011 Madrid, Spain",4.9,114.0,40.4081363,-3.741267499999999,OPERATIONAL,"establishment, point_of_interest",http://www.centraldepole.com/,628 68 54 08,lunes: 16:00–22:00 | martes: 11:00–22:00 | miércoles: 11:00–22:00 | jueves: 11:00–22:00 | viernes: 11:00–21:00 | sábado: 11:30–14:30 | domingo: Cerrado,https://maps.google.com/?cid=16669198398719084701,40.4081363,
pole dance studio,Madrid,2026-06-11 16:24:07.132015,ChIJo0PWME0vQg0R8uZrNB7X6PU,Soul Dance Fitness,"C. de Sancho Dávila, 30, Salamanca, 28028 Madrid, Spain",4.7,135.0,40.4259852,-3.6618419,OPERATIONAL,"establishment, gym, health, point_of_interest",https://glowupolemadrid.com/,622 07 34 88,"lunes: 17:00–22:00 | martes: 11:00–12:00, 17:00–22:00 | miércoles: 17:00–22:00 | jueves: 11:00–12:30, 17:00–22:00 | viernes: 17:00–19:30 | sábado: 11:00–14:00 | domingo: Cerrado",https://maps.google.com/?cid=17719649258617693938,40.4259852,
pole dance studio,Madrid,2026-06-11 16:24:07.132021,ChIJU1VVVeVCCw0RjPoI3V-Kvm4,Flow escuela de baile y pole dance EN MADRID,"C. de San Germán, 56, Tetuán, 28020 Madrid, Spain",4.5,124.0,40.4572726,-3.6998282,OPERATIONAL,"establishment, gym, health, point_of_interest",http://www.escuelaflow.es/,672 67 39 33,"lunes: 11:00–13:30, 17:30–22:30 | martes: 11:00–14:00, 17:00–22:30 | miércoles: 11:00–14:00, 16:30–22:30 | jueves: 11:00–12:30, 17:00–23:00 | viernes: 12:30–14:00, 17:00–21:30 | sábado: 11:30–14:30 | domingo: Cerrado",https://maps.google.com/?cid=7979967734081976972,40.4572726,
pole dance studio,Madrid,2026-06-11 16:24:07.132027,ChIJG4Mu1aUgQg0RVsxFPymeX1A,Angel´s Pole Studio,"C. de Ramón y Cajal, 18, 28914 Leganés, Madrid, Spain",5.0,76.0,40.3295837,-3.7372411,OPERATIONAL,"establishment, point_of_interest",https://angelspolestudio.es/,667 83 62 09,,https://maps.google.com/?cid=5791521545814133846,40.3295837,
pole dance studio,Madrid,2026-06-11 16:24:07.132032,ChIJUYTW0scoQg0RX68phRg26Fg,Extreme Pole Dance Studio Madrid,"C. del Pilar de Zaragoza, 75b, Salamanca, 28028 Madrid, Spain",,,40.4367142,-3.6729515,OPERATIONAL,"establishment, point_of_interest",,667 12 64 06,,https://maps.google.com/?cid=6406429948875747167,40.4367142,
pole dance studio,Madrid,2026-06-11 16:24:07.132038,ChIJBVkkMyCJQQ0Rv8WFRVNxz1E,Alondra Pole Space,"C. de Valle Inclán, 24, Latina, 28044 Madrid, Spain",5.0,5.0,40.3802201,-3.7721965,OPERATIONAL,"establishment, gym, health, point_of_interest",https://www.alondrapolespace.es/,614 05 75 03,lunes: 7:30–24:00 | martes: 7:30–24:00 | miércoles: 7:30–24:00 | jueves: 7:30–24:00 | viernes: 7:30–24:00 | sábado: 7:30–24:00 | domingo: 7:30–24:00,https://maps.google.com/?cid=5895055039713887679,40.3802201,
pole dance studio,Madrid,2026-06-11 16:24:07.132050,ChIJX7TK5SovQg0RUniu8__kmWY,DUPLAS FIT - POLE DANCE MADRID,"C. Carril del Conde, 82, Hortaleza, 28043 Madrid, Spain",5.0,32.0,40.4620904,-3.6535757,OPERATIONAL,"establishment, gym, health, point_of_interest",https://duplasfit.com/,641 01 73 03,,https://maps.google.com/?cid=7393192051261470802,40.4620904,
