search_query,province_search,timestamp,place_id,name,formatted_address,rating,user_ratings_total,lat,lng,business_status,types
pole dance,Madrid,2026-06-11 16:24:05.564609,ChIJxQnscLIoQg0R9cKjOGszB48,Madrid Pole Dance Studio,"C. de los Fundadores, 29, Salamanca, 28028 Madrid, Spain",4.6,76.0,40.42467,-3.6655115,CLOSED_TEMPORARILY,"establishment, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.131985,ChIJx3FKZVMnQg0Rny4JjNu1N_c,MovArt Pole Dance Studio,"C. Particular del Olvido, 3, Usera, 28026 Madrid, Spain",5.0,23.0,40.3866678,-3.7026425,OPERATIONAL,"establishment, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.132002,ChIJwblKfnonQg0RR12XNnQ75Yo,Glow Up- Pole Studio Legazpi,"C. del Teniente Cnel. Noreña, 11, Piso 1, Arganzuela, 28045 Madrid, Spain",4.9,147.0,40.3895933,-3.694477099999999,OPERATIONAL,"establishment, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.132009,ChIJ1UQybP8nQg0RnUgpXqDjVOc,Central Pole,"C. de Juan Pascual de Mena, 26, Latina, 28011 Madrid, Spain",4.9,114.0,40.4081363,-3.741267499999999,OPERATIONAL,"establishment, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.132015,ChIJo0PWME0vQg0R8uZrNB7X6PU,Soul Dance Fitness,"C. de Sancho Dávila, 30, Salamanca, 28028 Madrid, Spain",4.7,135.0,40.4259852,-3.6618419,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.132021,ChIJU1VVVeVCCw0RjPoI3V-Kvm4,Flow escuela de baile y pole dance EN MADRID,"C. de San Germán, 56, Tetuán, 28020 Madrid, Spain",4.5,124.0,40.4572726,-3.6998282,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.132027,ChIJG4Mu1aUgQg0RVsxFPymeX1A,Angel´s Pole Studio,"C. de Ramón y Cajal, 18, 28914 Leganés, Madrid, Spain",5.0,76.0,40.3295837,-3.7372411,OPERATIONAL,"establishment, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.132032,ChIJUYTW0scoQg0RX68phRg26Fg,Extreme Pole Dance Studio Madrid,"C. del Pilar de Zaragoza, 75b, Salamanca, 28028 Madrid, Spain",,,40.4367142,-3.6729515,OPERATIONAL,"establishment, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.132038,ChIJBVkkMyCJQQ0Rv8WFRVNxz1E,Alondra Pole Space,"C. de Valle Inclán, 24, Latina, 28044 Madrid, Spain",5.0,5.0,40.3802201,-3.7721965,OPERATIONAL,"establishment, gym, health, point_of_interest"
pole dance studio,Madrid,2026-06-11 16:24:07.132050,ChIJX7TK5SovQg0RUniu8__kmWY,DUPLAS FIT - POLE DANCE MADRID,"C. Carril del Conde, 82, Hortaleza, 28043 Madrid, Spain",5.0,32.0,40.4620904,-3.6535757,OPERATIONAL,"establishment, gym, health, point_of_interest"
